"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1127400","Home and Community Based Services","(Falade Christopher) Fadmetrocare Inc","2882 MIDDLE ST","","","Little Canada","MN","55117-1411","Ramsey","(612) 599-6396","Denied as of 10/09/2025","Fadmetrocare Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports; Specialist services; Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","","","","   ","cfaladus@gmail.com",
"1112221","Home and Community Based Services","1 Busy Bee Care Services","7970 BROOKLYN BLVD","","","Brooklyn Park","MN","55445-2722","Hennepin","(952) 262-9159","Active","1 Busy Bee Care Services Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","02/02/2023","01/01/2026","12/31/2026","   ","support@1busybeecare.com",
"1114190","Home and Community Based Services","1 on 1 Comprehensive Healthcare Solution LLC","14967 95TH PL N","","","Maple Grove","MN","55369-8537","Hennepin","(763) 299-0025","Active","1 ON 1 COMPREHENSIVE HEALTHCARE SOLUTION LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/04/2024","01/01/2026","12/31/2026","   ","1on1healthcaresolution@gmail.com",
"1094229","Home and Community Based Services","1-Dominion Home Health Care Inc","7344 SILVER LAKE RD","","","Mounds View","MN","55112-4123","Ramsey","(763) 352-1684","Active","1-Dominion Home Health Care, Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","06/18/2018","01/01/2026","12/31/2026","   ","",
"1112654","Home and Community Based Services","1Nation Home Care Inc","2021 E HENNEPIN AVE STE 402-5","","","Minneapolis","MN","55413-2700","Hennepin","(612) 800-2677","Active","1 NATION HOME CARE INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training    ","None","","Minnesota Department of Human Services","01/27/2023","01/01/2026","12/31/2026","   ","1nationhomecare@gmail.com",
"1114621","Home and Community Based Services","1st Care Inc","8609 LYNDALE AVE S STE 218","","","Bloomington","MN","55420-2717","Hennepin","(612) 564-6299","Active","1st Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","08/28/2023","01/01/2026","12/31/2026","   ","",
"1110637","Home and Community Based Services","1st Choice Care, Inc.","9035 BLAISDELL AVE S","","","Bloomington","MN","55420-3617","Hennepin","(612) 644-0165","Active","1st Choice Care, Inc.","   ","Basic Support Services: Homemaker; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","03/28/2022","01/01/2026","12/31/2026","   ","",
"1105690","Home and Community Based Services","1st Grade Care Inc","7800 METRO PKWY STE 300","","","Bloomington","MN","55425-1509","Hennepin","(952) 217-0897","Active","1st Grade Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","10/09/2020","01/01/2026","12/31/2026","   ","",
"1091688","Home and Community Based Services","24hrs Home Care LLC","2719 W DIVISION ST STE 111","","","Saint Cloud","MN","56301-3860","Stearns","(612) 876-5503","Temp Immediate Suspension as of 10/10/2025","24hrs Home Care LLC ","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","03/12/2018","01/01/2025","12/31/2025","   ","",
"1080082","Child Care Center","2nd Home Childcare LLC","2600 26th Ave S Ste 300","","","Minneapolis","MN","55406-4504","Hennepin","(612) 814-1531","Active","2nd Home Childcare LLC","104","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of preschool in the School Age 1 classrooms is 14.; Maximum number of preschool in the School Age 2 classrooms is 17.; Maximum number of preschool in the School Age 3 classrooms is 29.; Maximum number of preschool in the School Age 4 classr","Services: Day Program","Minnesota Department of Human Services","05/25/2016","12/01/2025","12/31/2026","   ","",
"1109755","Home and Community Based Services","3A's Adult Foster Care","3309 W 132ND ST","","","Burnsville","MN","55337-1878","Dakota","(651) 431-1892","Active","AYANTU Gebremdhin BEKUTO","   ","Basic Support Services: 24-hour emergency assistance  Residential Supports and Services: Family residential services    ","None","","Minnesota Department of Human Services","04/14/2022","01/01/2025","12/31/2025","   ","",
"1084187","Home and Community Based Services","3H Care LLC","2529 NICOLLET AVE STE 203","","","Minneapolis","MN","55404-4267","Hennepin","(612) 562-8306","Active","Muqbil Omar Hashi","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/01/2017","01/01/2026","12/31/2026","   ","",
"1103859","Home and Community Based Services","4 ABC Home Care Services","3300 COUNTY ROAD 10 STE 320D","","","Brooklyn Center","MN","55429-3072","Hennepin","(763) 999-4791","Active","4ABC Home Care Services","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment support services    ","None","","Minnesota Department of Human Services","04/09/2020","01/01/2026","12/31/2026","   ","4abchomecareservices@gmail.com",
"1110777","Home and Community Based Services","A & S Home Health Care LLC","1516 E LAKE ST STE 304","","","Minneapolis","MN","55407-1997","Hennepin","(860) 796-9122","Active","A & S Home Health Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","06/16/2022","01/01/2026","12/31/2026","   ","",
"1096017","Child Care Center","A Child's Place Daycare Center","3738 7th Ave","","","Anoka","MN","55303-1465","Anoka","(763) 710-7662","Conditional as of 12/02/2024","A Child's Place Daycare Center LLC","70 ","Ages Served: Infants Toddlers Preschool School-Age","Conditional License from 12/2/2024 though 12/1/2026.","Services: Day Program","Minnesota Department of Human Services","01/14/2019","01/01/2025","12/31/2025","   ","",
"1085470","Home and Community Based Services","A Peaceful Home Care","1050 46th Ave S","","","Moorhead","MN","56560     ","Clay","(651) 307-1463","Active","Peace Kpoobari Kpegeol","   ","Basic Support Services: Respite care, in home or out-of-home; Individual community living support  Residential Supports and Services: Foster Care services or supported living services; Family residential services    ","None","Satellite License Number: 1128801 (Home and Community Based Services - Community Residential Setting), A Peaceful Home Care; Satellite License Number: 1120317 (Home and Community Based Services - Community Residential Setting), A Peaceful Home Care; Satellite License Number: 1115650 (Home and Community Based Services - Community Residential Setting), A Peaceful Home Care; Satellite License Number: 1126293 (Home and Community Based Services - Community Residential Setting), A Peaceful Home Care; Satellite License Number: 1116590 (Home and Community Based Services - Community Residential Setting), A Peaceful Home Care; ","Minnesota Department of Human Services","03/08/2017","01/01/2026","12/31/2026","   ","apeacefulhomecare@gmail.com",
"1115650","Home and Community Based Services - Community Residential Setting","A Peaceful Home Care","3740 32ND ST S","","","Moorhead","MN","56560-6045","Clay","(651) 307-1463","Active","Peace Kpoobari Kpegeol","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1085470; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Clay County Social Services","10/01/2022","10/01/2025","09/30/2027","No ","",
"1116590","Home and Community Based Services - Community Residential Setting","A Peaceful Home Care","3826 32ND ST S","","","Moorhead","MN","56560-6047","Clay","(651) 307-1463","Active","Peace Kpoobari Kpegeol","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1085470; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Clay County Social Services","12/30/2022","12/18/2025","11/30/2027","No ","",
"1120317","Home and Community Based Services - Community Residential Setting","A Peaceful Home Care","3010 41ST AVE S","","","Moorhead","MN","56560-7472","Clay","(651) 307-1463","Active","Peace Kpoobari Kpegeol","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1085470; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Clay County Social Services","08/24/2023","08/01/2024","07/31/2026","No ","",
"1128801","Home and Community Based Services - Community Residential Setting","A Peaceful Home Care","1050 46TH AVE S","","","Moorhead","MN","56560-7087","Clay","(218) 299-7320","Active","Peace Kpoobari Kpegeol","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1085470; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Clay County Social Services","07/16/2025","12/18/2025","06/30/2026","No ","",
"1126293","Home and Community Based Services - Community Residential Setting","A Peaceful Home Care","402 DUDREY CT","","","Moorhead","MN","56560-2963","Clay","(218) 299-7320","Closed as of 08/29/2025","Peace Kpoobari Kpegeol","1  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1085470; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Clay County Social Services","01/09/2025","01/09/2025","12/31/2025","No ","",
"1067300","Home and Community Based Services","A Plus Home Care Inc","8400 NORMANDALE LAKE BLVD STE 920","","","Bloomington","MN","55437-3843","Hennepin","(952) 854-7760","Closed as of 09/17/2025","A Plus Home Care, Inc","   ","Basic Support Services: Homemaker    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2025","12/31/2025","   ","heather@aplushomecare.org",
"1097992","Child Care Center","A Plus Universal Child Care and Learning Center","1208 Shakopee Town Sq","","","Shakopee","MN","55379     ","Scott","(952) 236-7460","Active","A Plus Universal Child Care and Learning Center LLC","113","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/01/2019","01/01/2026","12/31/2026","   ","",
"1106025","Home and Community Based Services","A Quality Care Inc","7900 EXCELSIOR BLVD STE 2320","","","Hopkins","MN","55343-3457","Hennepin","(763) 477-2460","Active","A Quality Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","08/31/2020","01/01/2026","12/31/2026","   ","aqualitycareinc@gmail.com",
"1095335","Home and Community Based Services","A Step Ahead Home Health Care","2398 HEATH AVE N","","","Oakdale","MN","55128-5000","Washington","(612) 695-5091","Active","A Step Ahead Home Health Care","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","11/09/2018","01/01/2026","12/31/2026","   ","",
"1110241","Home and Community Based Services","A Trucare Residential Services LLC","14023 VIRGINIA AVE","","","Savage","MN","55378-6405","Scott","(612) 275-7602","Active","A Trucare Residential Services LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","05/31/2022","01/01/2026","12/31/2026","   ","",
"1113180","Home and Community Based Services","A&A RELIABLE HOME HEALTH CARE, LLC","1821 UNIVERSITY AVE W STE S295","","","Saint Paul","MN","55104-2897","Ramsey","(651) 470-9549","Active","A&A RELIABLE HOME HEALTH CARE, LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","10/21/2022","01/01/2026","12/31/2026","   ","",
"1104562","Home and Community Based Services","A-Z Access Health Care Inc","2700 E LAKE ST STE 201","","","Minneapolis","MN","55406-1963","Hennepin","(612) 447-7835","Active","A-Z Access Health Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","07/13/2020","01/01/2026","12/31/2026","   ","",
"1115347","Home and Community Based Services","A.L. HOME HEALTH CARE LLC","6385 OLD SHADY OAK RD STE 250","","","Eden Prairie","MN","55344-7705","Hennepin","(763) 807-8140","Active","A.L. Home Health Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports; Specialist services; Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","08/18/2025","01/01/2026","12/31/2026","   ","",
"1113695","Home and Community Based Services","A1 Splendor Home Care LLC","1958 HELMO AVE N","","","Oakdale","MN","55128-5213","Washington","(651) 307-0836","Closed as of 10/29/2025","A1 Splendor Home Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports    ","None","","Minnesota Department of Human Services","05/26/2023","01/01/2025","12/31/2025","   ","A1.SPLENDOR.HOMECARE@GMAIL.COM",
"1067306","Home and Community Based Services","AAA Best Care, Inc.","2589 HAMLINE AVE N STE B","","","Saint Paul","MN","55113-3185","Ramsey","(651) 528-8831","Active","AAA BEST CARE, INC","   ","Basic Support Services: Homemaker    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","lucy.nguyen@aaabestcare.com",
"1113448","Home and Community Based Services","AAA CARE CENTER INC","2040 DOUGLAS DR N STE 204","","","Golden Valley","MN","55422-3944","Hennepin","(651) 410-7777","Active","AAA CARE CENTER INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports; Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","04/25/2023","01/01/2026","12/31/2026","   ","ha.abdiqadir@gmail.com",
"1107561","Home and Community Based Services","Aabbys Home Health Care","8206 BLAISDELL AVE S","","","Bloomington","MN","55420-2219","Hennepin","(678) 665-1070","Active","Aabbys Home Health Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","02/04/2021","01/01/2026","12/31/2026","   ","",
"1112686","Home and Community Based Services","AAC Homecare LLC","2525 E FRANKLIN AVE STE 220","","","Minneapolis","MN","55406-1357","Hennepin","(613) 735-9812","Active","AAC Homecare LLC","   ","Basic Support Services: 24-hour emergency assistance; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/24/2023","01/01/2026","12/31/2026","   ","",
"1070252","Home and Community Based Services","Aafiya HomeCare,LLC","3270 19TH ST NW STE 108","","","Rochester","MN","55901-2950","Olmsted","(507) 292-0111","Active","Hawo Abdinur Mohamed","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1114554","Adult Day Care Services","Aamin Adult Day Care Center LLC","1201 37TH AVE N STE 101","","","Minneapolis","MN","55412-2005","Hennepin","(952) 649-0659","Closed as of 08/26/2025","Aamin Adult Day Care Center LLC","58 ","Age: 65 and older","Aamin Adult Day Care Center LLC is not licensed to provide adult day services to participants on BI, CADI or DD waivers.","Adult Day Care Services","Minnesota Department of Human Services","10/11/2023","01/01/2025","12/31/2025","   ","",
"1105803","Home and Community Based Services","AAMIN HOME CARE LLC","320 W LAKE ST # 217","","","Minneapolis","MN","55408-3025","Hennepin","(952) 649-0659","Active","AAMIN HOME CARE LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","01/01/2021","01/01/2026","12/31/2026","   ","",
"1098077","Adult Day Care Services","Aaran Adult Daycare Inc","3424 Wooddale Ave S","","","St Louis Park","MN","55416     ","Hennepin","(612) 250-3371","Active","Aaran Adult Daycare Inc","22 ","Age: 40 and older","None","Adult Day Care Services","Minnesota Department of Human Services","10/01/2019","01/01/2026","12/31/2026","   ","",
"1109865","Home and Community Based Services","Aaran Health Care Inc","1516 E LAKE ST STE 305","","","Minneapolis","MN","55407-1997","Hennepin","(206) 779-7778","Active","Aaran Health Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","02/28/2022","01/01/2026","12/31/2026","   ","",
"1104560","Home and Community Based Services","AarkosMED Homecare LLC","2525 E FRANKLIN AVE STE 220","","","Minneapolis","MN","55406-1357","Hennepin","(612) 404-6664","Active","AarkosMED Homecare LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Crisis respite, in-home or out-of-home  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","04/28/2020","01/01/2026","12/31/2026","   ","",
"1106148","Home and Community Based Services","AARON CARE INC","4020 MINNEHAHA AVE STE 1065","","","Minneapolis","MN","55406-4600","Hennepin","(612) 298-7478","Active","AARON CARE INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Day Services: Day support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","10/26/2020","01/01/2026","12/31/2026","   ","",
"1105095","Child Care Center","Aaron Child Care Inc.","2500 Minnehaha Ave Ste 100","","","Minneapolis","MN","55404     ","Hennepin","(612) 886-2557","Active","Aaron Child Care Inc.","117","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/10/2020","01/01/2026","12/31/2026","   ","",
"1114539","Home and Community Based Services","ABBA home health Care LLC ","1710 DOUGLAS DR N STE 224R","","","Golden Valley","MN","55422-4361","Hennepin","(763) 436-6726","Active","ABBA home health care LLC","   ","Basic Support Services: Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","10/08/2024","01/01/2025","12/31/2025","   ","abbahomehcare@gmail.com",
"1070294","Home and Community Based Services","AbbeyCare, Inc.","1148 GRAND AVE","","","Saint Paul","MN","55105-2628","Ramsey","(651) 690-5352","Active","AbbeyCare, Inc. Home Health Care Agency","   ","Basic Support Services: Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1111630","Home and Community Based Services","Abbrar Care LLC","2800 RUSTIC PL APT 225","","","Little Canada","MN","55117-1374","Ramsey","(952) 451-1343","Active","Abbrar Care LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports    ","None","","Minnesota Department of Human Services","01/01/2025","01/01/2026","12/31/2026","   ","",
"1109624","Home and Community Based Services","ABC Homecare LLC","750 HILLTOP RD","","","Mendota Heights","MN","55118-4321","Dakota","(630) 347-7083","Closed as of 09/17/2025","ABC Homecare LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","01/20/2023","01/01/2025","12/31/2025","   ","nm@mnabchomecare.com",
