"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"231243","Family Child Care","Anderson Andrea L","1406 16th St","","","Cloquet","MN","55720-3108","Carlton","(218) 879-6153","Active","Andrea L Anderson","14 ","Residential Dwelling","This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Carlton County Public Health & Human Services","04/14/1998","01/01/2026","12/31/2026","Yes","",
"1113346","Home and Community Based Services","Anderson Helping Hearts LLC","5 SUNNYSIDE EST","","","Cloquet","MN","55720-1145","Carlton","(218) 721-2552","Active","Keni L Anderson","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","04/05/2023","01/01/2026","12/31/2026","   ","andersonhelpingheartsllc@gmail.com",
"1108785","Child Foster Care","Angell Teresa Marie","","","","","  ","          ","Carlton","","Revoked as of 07/26/2023","Teresa Marie Angell","2  ","Foster Family                                     ","","Child Foster Care","Fond Du Lac Foster Care Licensing & Placement Agency","06/25/2021","06/25/2021","05/31/2023","   ","",
"1067996","Home and Community Based Services","Austin Home","PO BOX 176","225 MAPLE","","Carlton","MN","55718-0176","Carlton","(218) 393-0164","Active","Scott  Austin","   ","Residential Supports and Services: Foster Care services or supported living services; Family residential services    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1002318","Adult Foster Care","Austin Scott A & Austin Laurie M","225 MAPLE AVE","","","Carlton","MN","55718-0000","Carlton","(218) 384-3673","Active","Scott Alan Austin AND Laurie Marie Austin","4  ","Age: 18 years of age and older, Gender: Either","None","Adult Foster Care","Carlton County Public Health & Human Services","12/15/1998","01/01/2024","12/31/2025","Yes","",
"1121196","Child Foster Care","Baublitz Mary Ann","","","","","  ","          ","Carlton","","Closed as of 07/31/2025","Mary Ann Baublitz","1  ","Foster Family                                     ","","Child Foster Care","Carlton County Public Health & Human Services","08/09/2024","08/09/2024","07/31/2025","   ","",
"206754","Family Child Care","Beaudot Lisa R","5 Juntunen Rd","","","Esko","MN","55733-9501","Carlton","(218) 391-1994","Active","Lisa R Beaudot","12 ","Residential Dwelling","None","Family Child Care","Carlton County Public Health & Human Services","12/11/1992","01/01/2026","12/31/2026","Yes","glbeaudot@mchsi.com",
"1110418","Family Child Care","Berglund Joyce Ann dba Educational Care","1309 SAHLMAN AVE","","","Cloquet","MN","55720-2516","Carlton","(218) 390-4755","Active","Joyce Ann Berglund","14 ","Residential Dwelling","No transporting of children under age eight.    This program operates under the registered dba name Educational Care","Family Child Care","Carlton County Public Health & Human Services","12/14/2021","01/01/2026","12/31/2026","Yes","",
"224386","Adult Foster Care","Bowser Ronald L","3972 Oliver Rd","","","Moose Lake","MN","55767     ","Carlton","(218) 485-8673","Active","Ronald L Bowser","1  ","Age: 18 years of age and older, Gender: Either","None","Adult Foster Care","Carlton County Public Health & Human Services","01/13/1997","04/01/2025","03/31/2027","Yes","",
"1093715","Family Child Care","Chandler Cathy Jo","1505 Kenwood Ave","","","Cloquet","MN","55720     ","Carlton","(218) 348-5453","Active","Cathy Jo Chandler","10 ","Residential Dwelling","No transporting of children under age eight.    This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Carlton County Public Health & Human Services","06/26/2018","01/01/2026","12/31/2026","Yes","",
"1117278","Family Child Care","Chase Alexis Luella dba Lil Lovies Daycare","208 AVENUE E","","","Cloquet","MN","55720-1520","Carlton","(218) 393-6338","Active","Alexis Luella Chase","10 ","Residential Dwelling","No transporting of children under age eight.    This program operates under the registered dba name Lil Lovies Daycare","Family Child Care","Carlton County Public Health & Human Services","03/08/2023","03/01/2024","02/28/2026","Yes","",
"2001826","Certified Child Care Center","Cloquet School Readiness Wraparound Care","602 Arthur St","","","Cloquet","MN","55720     ","Carlton","(218) 879-9291","Active","Cloquet School Readiness Wrap Around Care","0  ","Ages Served: Preschool;School Age","None","","Minnesota Department of Human Services","08/14/2025","08/14/2025","12/31/2025","   ","",
"1123583","Family Child Care","Coleman Janelle & Deppa Clair dba Scribble & Scribe Preschool","309 4TH ST","","","Cloquet","MN","55720-2051","Carlton","(218) 240-1105","Active","Janelle Elaine Coleman AND Clair Marie Deppa","12 ","Residential Dwelling","This program operates under the registered dba name Scribble & Scribe Preschool; This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Carlton County Public Health & Human Services","05/14/2024","01/01/2026","12/31/2026","No ","scribbleandscribepreschool@gmail.com",
"801584","Substance Use Disorder Treatment","Community Addiction Recovery Enterprise Carlton","810 3RD ST STE 102","","","Carlton","MN","55718-3701","Carlton","(218) 384-4106","Active","Direct Care and Treatment","   ","Residential Treatment - Capacity: 16; serving ages18 and older; Gender: Female ; Satellite Location(s):","None","Specializing in: the Treatment of Persons with a Substance Use and Mental Health Disorder; Approved Rate Enhancements: High Intensity Residential; Medical Services; Co-occurring Disorders; ","Minnesota Department of Human Services","01/01/1977","01/01/2025","12/31/2025","   ","",
"2001864","Certified Child Care Center","Cool Kids","16 E Highway 61","","","Esko","MN","55733     ","Carlton","","Active","Esko Community Education - Cool Cubs/Cool Kids","0  ","Ages Served: Preschool;School Age","None","","Minnesota Department of Human Services","12/17/2025","12/17/2025","12/31/2025","   ","",
"216721","Child Foster Care","Crestik Cynthia K & Crestik Raymond James","","","","","  ","          ","Carlton","","Active","Cynthia Kaye Crestik AND Raymond James Crestik","3  ","Foster Family                                     ","","Child Foster Care","Carlton County Public Health & Human Services","06/27/1995","06/01/2025","05/31/2027","   ","",
"1110709","Family Child Care","Davis Kayloni R","1462 CARL ST","","","Cloquet","MN","55720-2907","Carlton","(218) 576-6224","Active","Kayloni Rose Davis","10 ","Residential Dwelling","None","Family Child Care","Carlton County Public Health & Human Services","11/09/2021","01/01/2026","12/31/2026","Yes","Littleevesdaycare@gmail.com",
"1126511","Child Foster Care","Davis-Johnson Jessica Renee & Johnson James Alan","","","","","  ","          ","Carlton","","Active","Jessica Renee Davis-Johnson AND James Alan Johnson","2  ","Foster Family                                     ","","Child Foster Care","Carlton County Public Health & Human Services","03/01/2025","03/01/2025","02/28/2026","   ","",
"1067982","Home and Community Based Services - Community Residential Setting","DRCC","18 Torma Rd","","","Esko","MN","55733-0000","Carlton","(218) 879-5059","Active","Duluth Regional Care Center, Inc.","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067956; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Carlton County Public Health & Human Services","07/01/2014","12/01/2024","11/30/2026","No ","",
"215990","Family Child Care","Dunaisky Karlene M","599 Maple Drive","","","Wrenshall","MN","55797-9066","Carlton","(218) 590-1973","Active","Karlene M Dunaisky","14 ","Residential Dwelling","This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Carlton County Public Health & Human Services","05/01/1995","01/01/2026","12/31/2026","Yes","",
"1115327","Home and Community Based Services - Community Residential Setting","Dungarvin Pennel Park","426 10TH ST","","","Cloquet","MN","55720-2033","Carlton","","Active","Dungarvin Minnesota LLC","1  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1070806; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Carlton County Public Health & Human Services","08/03/2022","08/01/2025","07/31/2027","No ","",
"1096166","Family Child Care","Edblad Hannah Lee","42 POLO RD","","","Esko","MN","55733-9713","Carlton","(218) 355-1071","Active","Hannah Lee Edblad","10 ","Residential Dwelling","No transporting of children under age eight.    This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Carlton County Public Health & Human Services","10/29/2018","01/01/2026","12/31/2026","Yes","",
"1126636","Child Foster Care","Eggen Michelle Christina & Hillman Colin Jon","","","","","  ","          ","Carlton","","Active","Michelle Christina Eggen AND Colin Jon Hillman","2  ","Foster Family                                     ","","Child Foster Care","North Homes, Inc.","02/13/2025","02/13/2025","01/31/2027","   ","",
"1081768","Child Care Center","Esko Minis Childcare and Preschool","2 Beth Ann Dr","","","Esko","MN","55733-5502","Carlton","(218) 879-5035","Active","Mini Mos LLC","102","Ages Served: Infants Toddlers Preschool","Not to Exceed 30 Infants; Not to Exceed 33 Toddlers; Not to Exceed 47 Infants/Toddlers","Services: Day Program","Minnesota Department of Human Services","08/15/2016","01/01/2026","12/31/2026","   ","",
"1122335","Child Foster Care","Fender David James & Fender Tonya Sue","","","","","  ","          ","Carlton","","Active","David James Fender AND Tonya Sue Fender","1  ","Foster Family                                     ","","Child Foster Care","Carlton County Public Health & Human Services","03/06/2024","03/01/2025","02/28/2027","   ","",
"1115526","Home and Community Based Services","Folz Boulevard","808 FOLZ BLVD","","","Moose Lake","MN","55767-9702","Carlton","(561) 212-9870","Denied as of 09/18/2025","The Joshua House, LLC","   ","Basic Support Services: 24-hour emergency assistance; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports; Specialist services; Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training  Residential Supports and Services: Foster Care services or supported living services; Supported living services in a SLF; Residential services in an ICF/DD; Community residential services  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","","","","   ","",
"800834","Child Caring-Placing Agency","Fond du Lac Foster Care Licensing & Placement Agency","927 Trettel Ln","","","Cloquet","MN","55720     ","Carlton","(218) 879-1227","Active","Fond du Lac Foster Care Licensing & Placement Agency","   ","Foster Care Services","None","Child Caring-Placing Agency","Department of Children, Youth, and Families","07/01/1989","01/01/2026","12/31/2026","   ","",
"1124552","Family Child Care","Frank Alexis Sophie","920 9TH ST","","","Cloquet","MN","55720-2547","Carlton","(218) 481-2993","Active","Alexis Sophie Frank","12 ","Residential Dwelling","No transporting of children under age eight.    This license supersedes the previously issued license that was set to expire in 2025.","Family Child Care","Carlton County Public Health & Human Services","08/19/2024","01/01/2026","12/31/2026","Yes","Tenderrootschildcare@gmail.com",
"1125879","Child Foster Care","Goutermont Michelle Lynn & Goutermont Daniel Ray","","","","","  ","          ","Carlton","","Closed as of 11/17/2025","Michelle Lynn Goutermont AND Daniel Ray Goutermont","1  ","Foster Family                                     ","","Child Foster Care","Carlton County Public Health & Human Services","02/24/2025","02/24/2025","01/31/2026","   ","",
"1068440","Home and Community Based Services","Graves Adult Foster Home","4747 N RIVERSIDE RD","","","Moose Lake","MN","55767-9210","Carlton","(218) 485-8113","Active","Teresa Graves AND Greg Graves","   ","Residential Supports and Services: Foster Care services or supported living services; Family residential services    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
