"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1112221","Home and Community Based Services","1 Busy Bee Care Services","7970 BROOKLYN BLVD","","","Brooklyn Park","MN","55445-2722","Hennepin","(952) 262-9159","Active","1 Busy Bee Care Services Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","02/02/2023","01/01/2026","12/31/2026","   ","support@1busybeecare.com",
"1114190","Home and Community Based Services","1 on 1 Comprehensive Healthcare Solution LLC","14967 95TH PL N","","","Maple Grove","MN","55369-8537","Hennepin","(763) 299-0025","Active","1 ON 1 COMPREHENSIVE HEALTHCARE SOLUTION LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/04/2024","01/01/2026","12/31/2026","   ","1on1healthcaresolution@gmail.com",
"1062259","Child Caring-Placing Agency","180 Degrees Inc","236 CLIFTON AVE","","","Minneapolis","MN","55403-3466","Hennepin","(612) 813-5000","Active","180 Degrees Inc","   ","Foster Care Services","None","Child Caring-Placing Agency","Department of Children, Youth, and Families","01/01/2012","01/01/2026","12/31/2026","   ","",
"1086169","Children's Residential Facilities","180 Degrees Inc Hope House","3010 W 78th St","","","Excelsior","MN","55331     ","Hennepin","(612) 900-2077","Active","180 Degrees Inc","6  ","","None","Unit name: 1; Unit capacity: 6  ; Ages served: 14 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","07/24/2017","01/01/2026","12/31/2026","   ","",
"1112654","Home and Community Based Services","1Nation Home Care Inc","2021 E HENNEPIN AVE STE 402-5","","","Minneapolis","MN","55413-2700","Hennepin","(612) 800-2677","Active","1 NATION HOME CARE INC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training    ","None","","Minnesota Department of Human Services","01/27/2023","01/01/2026","12/31/2026","   ","1nationhomecare@gmail.com",
"1114621","Home and Community Based Services","1st Care Inc","8609 LYNDALE AVE S STE 218","","","Bloomington","MN","55420-2717","Hennepin","(612) 564-6299","Active","1st Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","08/28/2023","01/01/2026","12/31/2026","   ","",
"1110637","Home and Community Based Services","1st Choice Care, Inc.","9035 BLAISDELL AVE S","","","Bloomington","MN","55420-3617","Hennepin","(612) 644-0165","Active","1st Choice Care, Inc.","   ","Basic Support Services: Homemaker; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","03/28/2022","01/01/2026","12/31/2026","   ","",
"1105690","Home and Community Based Services","1st Grade Care Inc","7800 METRO PKWY STE 300","","","Bloomington","MN","55425-1509","Hennepin","(952) 217-0897","Active","1st Grade Care Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","10/09/2020","01/01/2026","12/31/2026","   ","",
"1110553","Home and Community Based Services","245D","6607 18TH AVE S","","","Richfield","MN","55423-2784","Hennepin","(612) 876-7067","Active","TCHIKOUETE LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","09/21/2023","01/01/2026","12/31/2026","   ","",
"1080082","Child Care Center","2nd Home Childcare LLC","2600 26th Ave S Ste 300","","","Minneapolis","MN","55406-4504","Hennepin","(612) 814-1531","Active","2nd Home Childcare LLC","104","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of preschool in the School Age 1 classrooms is 14.; Maximum number of preschool in the School Age 2 classrooms is 17.; Maximum number of preschool in the School Age 3 classrooms is 29.; Maximum number of preschool in the School Age 4 classr","Services: Day Program","Minnesota Department of Human Services","05/25/2016","12/01/2025","12/31/2026","   ","",
