"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1127400","Home and Community Based Services","(Falade Christopher) Fadmetrocare Inc","2882 MIDDLE ST","","","Little Canada","MN","55117-1411","Ramsey","(612) 599-6396","Denied as of 10/09/2025","Fadmetrocare Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Positive supports; Specialist services; Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","","","","   ","cfaladus@gmail.com",
"1094229","Home and Community Based Services","1-Dominion Home Health Care Inc","7344 SILVER LAKE RD","","","Mounds View","MN","55112-4123","Ramsey","(763) 352-1684","Active","1-Dominion Home Health Care, Inc","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","06/18/2018","01/01/2026","12/31/2026","   ","",
"1074484","Children's Residential Facilities","180 Degrees Inc","1281 E 7th St","","","Saint Paul","MN","55106-0000","Ramsey","(612) 287-4801","Active","180 Degrees Inc","14 ","","None","Unit name: 180 Degrees Inc; Unit capacity: 14 ; Ages served: 10 through 17; Gender: Female; Services provided: Group Residential Setting     Shelter Services     Transitional Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","08/01/2014","01/01/2026","12/31/2026","   ","",
"1115442","Home and Community Based Services","245D basic services","501 DALE ST N # 205","","","Saint Paul","MN","55103-1914","Ramsey","(612) 205-6451","Denied as of 07/30/2025","ALL TC HOME CARE LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","","","","   ","",
"1103165","Adult Day Care Services","5 Star Adult Day Center Inc","2966 WHITE BEAR AVE N","","","Maplewood ","MN","55109-1318","Ramsey","(651) 788-7238","Conditional as of 09/10/2025","5 Star Adult Day Center Inc","76 ","Age: 18 and older","None","Adult Day Care Services","Minnesota Department of Human Services","03/04/2020","01/01/2026","12/31/2026","   ","",
"1113180","Home and Community Based Services","A&A RELIABLE HOME HEALTH CARE, LLC","1821 UNIVERSITY AVE W STE S295","","","Saint Paul","MN","55104-2897","Ramsey","(651) 470-9549","Active","A&A RELIABLE HOME HEALTH CARE, LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Integrated Community Supports : Integrated Community Supports    ","None","","Minnesota Department of Human Services","10/21/2022","01/01/2026","12/31/2026","   ","",
"1115341","Home and Community Based Services","A.Z.A Services LLC","2740 FAIRVIEW AVE N UNIT 311","","","Roseville","MN","55113-1370","Ramsey","(763) 898-2040","Active","A.Z.A Services LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  In-Home Support Services: Individualized home supports with training; Individualized home supports with family training    ","None","","Minnesota Department of Human Services","05/08/2025","01/01/2026","12/31/2026","   ","",
"1067306","Home and Community Based Services","AAA Best Care, Inc.","2589 HAMLINE AVE N STE B","","","Saint Paul","MN","55113-3185","Ramsey","(651) 528-8831","Active","AAA BEST CARE, INC","   ","Basic Support Services: Homemaker    ","None","","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","lucy.nguyen@aaabestcare.com",
"1095176","Home and Community Based Services","Aaran Health Service LLC","2147 UNIVERSITY AVE W STE 207","","","Saint Paul","MN","55114-1327","Ramsey","(952) 261-3930","Active","Aaran Health Service LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Respite care, in home or out-of-home; Individual community living support; Individualized home supports  Intervention Support Services: Specialist services; Crisis respite, in-home or out-of-home  In-Home Support Services: Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","08/03/2018","01/01/2026","12/31/2026","   ","Aaranhealthservices@gmail.com",
"1107130","Home and Community Based Services","AARE HEALTH SYSTEM LLC","1821 UNIVERSITY AVE W STE 227","","","Saint Paul","MN","55104-2895","Ramsey","(612) 298-7897","Active","AARE HEALTH SYSTEM LLC","   ","Basic Support Services: 24-hour emergency assistance; Adult companion services; Homemaker; Night supervision; Individual community living support; Individualized home supports  In-Home Support Services: Semi-independent living skills ; Individualized home supports; Individualized home supports with training; Individualized home supports with family training  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","","Minnesota Department of Human Services","03/04/2021","01/01/2026","12/31/2026","   ","info@aarehealthsystem.com",
